artigo,codigo,descricao,icms_18,icms_12,icms_7,ret_mg,observacao
SARJA ZARA LISO, LISO 1045,SARJA ZARA 100% ALGODAO,15.3,14.9,14.3,13.68,PROGRAMACAO
SIERRA LINHO MAQ LISO, LISO 1105,SIERRA LINHO MAQUINETADO 93.3%ALG 6.7%LI,16.5,16.1,15.5,14.49,SOMENTE PRONTA ENTREGA -SEM REPOSICAO
SIERRA MAQUINETADO  LISO, LISO 1096,SIERRA MAQUINETADO 100% ALGODAO,16.3,15.9,15.3,14.58,SOMENTE PRONTA ENTREGA -SEM REPOSICAO
SORRENTO MAQUINETADO LISO, LISO 1101,SORRENTO MAQUINETADO 100%ALGODAO,15.3,14.9,14.3,13.68,PRONTA ENTREGA - AGUARDAR UMA NOVA PROGRAMACAO
STRIPED 160 (2) 2X2  EST, EST 1110,STRIPED 160 (2) 2X2 100% ALGODAO,17.9,16.9,16.05,16.01,PROGRAMACAO
STRIPED ALVEJADO 160 (2) 2X2 EST, EST 1111,STRIPED ALVEJADO 160 (2) 2X2 100% ALGO,17.9,16.9,16.05,16.01,PROGRAMACAO
TECIDO AMALFI RUSTIC (DIGITAL) , DIG EST 1084,TECIDO AMALFI RUSTIC (DIGITAL) 100% ALG,23.9,23.9,23.9,21.37,SOMENTE EXCLUSIVO
TECIDO AMALFI RUSTIC  LISO, LISO 1084,TECIDO AMALFI RUSTIC 100% ALGODAO,16.85,15.9,14.78,15.07,PRONTA ENTREGA - AGUARDAR UMA NOVA PROGRAMACAO
TECIDO BARI RUSTIC  LISO, LISO 1091,TECIDO BARI RUSTIC 100% ALGODAO,16.3,15.9,15.3,14.58,SOMENTE PRONTA ENTREGA -SEM REPOSICAO
TECIDO LINEA RUSTIC  LISO, LISO 1095,TECIDO LINEA RUSTIC 100% ALGODAO,16.3,15.9,15.3,14.58,PRONTA ENTREGA - AGUARDAR UMA NOVA PROGRAMACAO
TECIDO RIVIERA  VISCOSE LISO, LISO 1088,TECIDO RIVIERA 100% VISCOSE,10.9,10.9,10.9,11.9,SOMENTE PRONTA ENTREGA -SEM REPOSICAO
TECIDO ROYALE FIO TINTO EST, EST 1013,TECIDO ROYALE FIO TINTO 100% ALGO,17.9,16.9,16.05,16.01,SOMENTE PRONTA ENTREGA -SEM REPOSICAO
TECIDO RUSH PELETIZADO  LISO, LISO 1005,TECIDO RUSH PELETIZADO 100% ALGODAO,17.4,17,16.4,15.56,SOMENTE PRODUCAO EXCLUSIVA
TESSERA RUSTIC LISO, LISO 1018,TESSERA RUSTIC 100% ALGODAO,15.3,14.9,14.3,13.68,PRONTA ENTREGA - AGUARDAR UMA NOVA PROGRAMACAO
TRICOLINE DELUXE EST, EST 1011,TRICOLINE DELUXE 100% ALGODAO,14.2,13.7,13.2,12.7,PROGRAMACAO
TRICOLINE DIGITAL  , DIG EST 1079,TRICOLINE DIGITAL 100% ALGODAO,20.25,20.25,20.25,18.11,PROGRAMACAO
TRICOLINE HAVANA EST, EST 1010,TRICOLINE HAVANA 97% ALGODAO 3% ELASTANO,,15.9,15.3,,SOMENTE PRONTA ENTREGA
TRICOLINE HAVANA LISO, LISO 1010,TRICOLINE HAVANA 97% ALGODAO 3% ELASTANO,16.3,15.9,15.3,14.58,PRONTA ENTREGA - AGUARDAR UMA NOVA PROGRAMACAO
