Descrição,Grupo,Preço,Observação
TRICOLINE LONDRES 100% ALGODAO,PA LISO 1019,"13,67",SOMENTE PRONTA ENTREGA -SEM REPOSICAO
TRICOLINE PARIS PLUS 100% ALGODAO,PA LISO 1000,"13,1",PRONTA ENTREGA  -AGUARDAR UMA NOVA PROGRAMACAO
TRICOLINE PREMIUM 100% ALGODAO,PA EST 1015,"13,67",PROGRAMACAO
TRICOLINE TOP LINE (DIGITAL)40/1 100%ALG,PA DIG EST 1028,"20,25",PROGRAMACAO
TRICOLINE TOP LINE 40/1 100% ALGODAO,PA EST 1028,"14,2",PROGRAMACAO
TRICOLINE TOP LINE 40/1 100% ALGODAO,PA LISO 1028,"14,2",PRONTA ENTREGA  -AGUARDAR UMA NOVA PROGRAMACAO
VENETO FIO TINTO 100% ALGODAO,PA LISO 1016,"15,79",SOMENTE PRONTA ENTREGA  - SEM REPOSICAO
VERANO ARIZONA XADREZ (2) 2X2 100% ALG,PA EST 1046,"19,3",SOMENTE PRONTA ENTREGA - SEM REPOSICAO
VERANO CHAMBREY 100% ALGODAO,PA LISO 1003,"14,9",PROGRAMACAO
VERANO CHAMBREY 160 100% ALGODAO,PA LISO 1112,"14,9",PROGRAMACAO
VERANO FLAME (DIGITAL) 100% ALGODAO,PA DIG EST 1001,20,PROGRAMACAO
VERANO FLAME 100% ALGODAO,PA EST 1001,"14,73",SOMENTE PRONTA ENTREGA - SEM REPOSICAO
VERANO FLAME 100% ALGODAO,PA LISO 1001,"14,31",SOMENTE PRONTA ENTREGA  - SEM REPOSICAO
VERANO FLAME 160 100% ALGODAO,PA EST 1099,"14,73",PROGRAMACAO
VERANO FLAME 160 100% ALGODAO,PA LISO 1099,"14,31",PROGRAMACAO
VERANO LINHO PLUS 160 55%AL15%LIN30%VIS,PA LISO 1076,"15,7",PROGRAMACAO
VERANO LINHO PLUS 55%ALG15%LINHO30%VISC,PA DIG EST 1076,20,PROGRAMACAO
VERANO LISTRADO ELEGANCE 100% ALG,PA EST 1030,"17,9",SOMENTE PRONTA ENTREGA -SEM REPOSICAO
VERANO STRIPED (2) 2X2 100% ALGODAO,PA EST 1027,"17,9",SOMENTE PRONTA ENTREGA -SEM REPOSICAO
VERANO STRIPED (5) 4X4 100% ALGODAO,PA EST 1025,"17,9",SOMENTE PRONTA ENTREGA -SEM REPOSICAO
VERANO STRIPED (85MM) 1X1 100% ALGODAO,PA EST 1085,"17,9",SOMENTE PRONTA ENTREGA -SEM REPOSICAO
VERANO STRIPED ALVEJADO (2) 2X2 100% ALG,PA EST 1093,"17,9",SOMENTE PRONTA ENTREGA  -SEM REPOSICAO
