Descrição,Grupo,Preço,Observação
ARIZONA TWO TONER (2) 2X2 100% ALGODAO,PA EST 1057,"18,9",SOMENTE PRONTA   - SEM REPOSICAO
CHAMBRAY TWO TONE 100% ALGODAO,PA LISO 1032,"15,5",PROGRAMACAO
CHAMBRAY TWO TONE 160 100% ALGODAO,PA LISO 1113,"15,5",PROGRAMACAO
CIERRO LINHO 85% ALGODAO 15% LINHO,PA LISO 1103,"15,8",PRONTA ENTREGA  - AGUARDAR UMA  NOVA PROGRAMACAO
CIERRO RUSTIC 100%ALGODAO,PA LISO 1102,"14,9",SOMENTE PRONTA ENTREGA  - SEM REPOSICAO
COTTON PAPER 100% ALGODAO,PA LISO 1106,"14,9",LANCAMENTO - PROGRAMACAO
FINE FLEX JEANS 65% ALG 32% POL 3% ELAS,PA LISO 1004,"16,9",SOMENTE PRONTA ENTREGA  - SEM REPOSICAO
LINHO BELGA 60% ALGODAO 40% LINHO,PA LISO 1089,"18,5",SOMENTE PRONTA ENTREGA  - SEM REPOSICAO
LINHO CARAIVA 55%ALG 30%VIS 15%LIN,PA LISO 1107,"18,7",LANCAMENTO - PROGRAMACAO
LINHO DELUXE (DIGITAL) 55%AL 30%VI 15%LI,PA DIG EST 1002,22,PROGRAMACAO
LINHO DELUXE 55% ALG 30% VISC 15% LINHO,PA EST 1002,"15,6",PROGRAMACAO
LINHO DELUXE 55%ALG 30%VISC 15%LIN,PA LISO 1002,"14,9",PROGRAMACAO
LINHO DELUXE MAQUINETADO 55%AL30%VIS15%L,PA LISO 1021,"15,4",PROGRAMACAO
LINHO IPANEMA 55% ALGO 20% VISC 25% LINH,PA LISO 1053,"17,9",SOMENTE PRONTA ENTREGA  - SEM REPOSICAO
LINHO IPANEMA 55%ALG 20%VIS 25%LIN,PA DIG EST 1053,"20,9",SOMENTE EXCLUSIVO
LINHO IPANEMA 55%ALGODAO 20%VISCO 25%LIN,PA EST 1053,"17,9",SOMENTE PRONTA ENTREGA  - SEM REPOSICAO
LINHO PANAMA (DIGITAL) 55%AL15%LIN30%VIS,PA DIG EST 1044,"20,9",PROGRAMACAO
LINHO PANAMA 55% ALG 15% LINHO 30% VISCO,PA EST 1044,"15,5",PROGRAMACAO
LINHO PANAMA 55%ALG 15%LIN 30%VIS,PA LISO 1044,"15,5",PROGRAMACAO
LINHO XADREZ 60% ALG 25% VIS 15% LINHO,PA EST 1073,"16,9",SOMENTE PRONTA ENTREGA -SEM REPOSICAO
"LISTRADO MEDIO 0,6 X 0,6 100% ALGODAO",PA EST 1104,"16,9",PROGRAMACAO
"LISTRADO MEDIO ALVEJADO 0,6X0,6 100% ALG",PA EST 1108,"16,9",PROGRAMACAO
MAQTTON LINHO 55%ALG 30%VISC 15%LIN,PA LISO 1098,"15,8",PROGRAMACAO
MAQTTON RUSTIC 100%ALGODAO,PA LISO 1038,"14,9",PRONTA ENTREGA  -  AGUARDAR UMA NOVA PROGRAMACAO
PANAMA C/ ELAS 70%ALG 15%LIN 12%VIS 3%EL,PA LISO 1052,"16,9",PROGRAMACAO  -  SOMENTE  NATURAL
PORTO FINO MAQUINETADO 100%ALGODAO,PA LISO 1100,"14,9",SOMENTE PRONTA ENTREGA  -
PROVANCE FLAME 100% ALGODAO,PA LISO 1109,"14,4",LANCAMENTO - PROGRAMACAO
SARJA BYSKAY FLEX 97% ALG 3% ELAS,PA LISO 1097,"18,9",SOMENTE PRONTA ENTREGA  -  SEM REPOSICAO
SARJA CARIBE FLEX (DIGITAL) 97% AL3% ELA,PA DIG EST 1017,"25,9",PROGRAMACAO
SARJA CARIBE FLEX 97% ALG 3% ELAS,PA LISO 1017,"19,3",SOMENTE PRONTA ENTREGA  - SEM REPOSICAO
SARJA CARIBE LIGHT 97% ALG 3% ELAS,PA LISO 1024,"19,9",PROGRAMACAO
SARJA FLEX 160 (DIGITAL) 97% ALG 3% ELAS,PA DIG EST 1033,"25,9",PROGRAMACAO
