Descrição,Grupo,Preço,Observação
ARIZONA TWO TONER (2) 2X2 100% ALGODAO,PA EST 1057,"18,3",SOMENTE PRONTA ENTREGA -SEM REPOSICAO
CHAMBRAY TWO TONE 100% ALGODAO,PA LISO 1032,"14,9",PROGRAMACAO
CHAMBRAY TWO TONE 160 100% ALGODAO,PA LISO 1113,"14,9",PROGRAMACAO
CIERRO LINHO 85% ALGODAO 15% LINHO,PA LISO 1103,"15,2",PRONTA ENTREGA  -AGUARDAR UMA NOVA PROGRAMACAO
CIERRO RUSTIC 100%ALGODAO,PA LISO 1102,"14,3",SOMENTE PRONTA ENTREGA  -SEM REPOSICAO
COTTON PAPER 100% ALGODAO,PA LISO 1106,"14,15",LANCAMENTO - PROGRAMACAO
FINE FLEX JEANS 65% ALG 32% POL 3% ELAS,PA LISO 1004,"16,05",SOMENTE PRONTA ENTREGA  -SEM REPOSICAO
LINHO BELGA 60% ALGODAO 40% LINHO,PA LISO 1089,"17,1",SOMENTE PRONTA ENTREGA -SEM REPOSICAO
LINHO CARAIVA 55%ALG 30%VIS 15%LIN,PA LISO 1107,"17,76",LANCAMENTO- PROGRAMACAO
LINHO DELUXE (DIGITAL) 55%AL 30%VI 15%LI,PA DIG EST 1002,22,PROGRAMACAO
LINHO DELUXE 55% ALG 30% VISC 15% LINHO,PA EST 1002,15,PROGRAMACAO
LINHO DELUXE 55%ALG 30%VISC 15%LIN,PA LISO 1002,"14,3",PROGRAMACAO
LINHO DELUXE MAQUINETADO 55%AL30%VIS15%L,PA LISO 1021,"14,98",PROGRAMACAO
LINHO IPANEMA 55%ALG 20%VIS 25%LIN,PA DIG EST 1053,"20,9",SOMENTE EXCLUSIVO
LINHO IPANEMA 55%ALGODAO 20%VISCO 25%LIN,PA EST 1053,17,SOMENTE PRONTA ENTREGA -SEM REPOSICAO
LINHO PANAMA (DIGITAL) 55%AL15%LIN30%VIS,PA DIG EST 1044,"20,9",PROGRAMACAO
LINHO PANAMA 55% ALG 15% LINHO 30% VISCO,PA EST 1044,"14,9",PROGRAMACAO
LINHO PANAMA 55%ALG 15%LIN 30%VIS,PA LISO 1044,"14,9",PROGRAMACAO
"LISTRADO MEDIO 0,6 X 0,6 100% ALGODAO",PA EST 1104,"16,05",PROGRAMACAO
"LISTRADO MEDIO ALVEJADO 0,6X0,6 100% ALG",PA EST 1108,"16,05",PROGRAMACAO
MAQTTON LINHO 55%ALG 30%VISC 15%LIN,PA LISO 1098,"15,2",PROGRAMACAO
MAQTTON RUSTIC 100%ALGODAO,PA LISO 1038,"14,3",PRONTA ENTREGA - AGUARDAR UMA NOVA PROGRAMACAO
PANAMA C/ ELAS 70%ALG 15%LIN 12%VIS 3%EL,PA LISO 1052,"16,3",PROGRAMACAO -SOMENTE NATURAL
PORTO FINO MAQUINETADO 100%ALGODAO,PA LISO 1100,"14,3",SOMENTE PRONTA ENTREGA
PROVANCE FLAME 100% ALGODAO,PA LISO 1109,"13,32",LANCAMENTO - PROGRAMACAO
SARJA BYSKAY FLEX 97% ALG 3% ELAS,PA LISO 1097,"18,3",SOMENTE PRONTA ENTREGA  - SEM REPOSICAO
SARJA CARIBE FLEX (DIGITAL) 97% AL3% ELA,PA DIG EST 1017,"24,62",PROGRAMACAO
SARJA CARIBE LIGHT 97% ALG 3% ELAS,PA LISO 1024,"19,3",PROGRAMACAO
SARJA FLEX 160 97% ALG 3% ELAS,PA LISO 1033,"19,3",PROGRAMACAO
SARJA NATURE 170 78%AL 15%VIS 5%LIN 2%EL,PA LISO 1114,"21,3",PROGRAMACAO
SARJA NATURE 78%ALG 15%VIS 5%LIN 2%ELA,PA LISO 1006,"20,3",PROGRAMACAO
SARJA ZARA (DIGITAL) 100% ALGODAO,PA DIG EST 1045,"21,03",PROGRAMACAO
SARJA ZARA 100% ALGODAO,PA EST 1045,"14,8",PROGRAMACAO
SARJA ZARA 100% ALGODAO,PA LISO 1045,"14,3",PROGRAMACAO
"SIERRA LINHO MAQUINETADO 93,3%ALG 6,7%LI",PA LISO 1105,"15,5",SOMENTE PRONTA ENTREGA  - SEM REPOSICAO
SIERRA MAQUINETADO 100% ALGODAO,PA LISO 1096,"15,3",SOMENTE PRONTA ENTREGA -SEM REPOSICAO
SORRENTO MAQUINETADO 100%ALGODAO,PA LISO 1101,"14,3",PRONTA ENTREGA  -AGUARDAR UMA NOVA PROGRAMACAO
STRIPED 160 (2) 2X2 100% ALGODAO,PA EST 1110,"16,05",PROGRAMACAO
STRIPED ALVEJADO 160 (2) 2X2 100% ALGO,PA EST 1111,"16,05",PROGRAMACAO
TECIDO AMALFI RUSTIC (DIGITAL) 100% ALG,PA DIG EST 1084,"23,9",SOMENTE EXCLUSIVO
TECIDO AMALFI RUSTIC 100% ALGODAO,PA LISO 1084,"14,78",PRONTA ENTREGA  -AGUARDAR UMA NOVA PROGRAMACAO
TECIDO BARI RUSTIC 100% ALGODAO,PA LISO 1091,"15,3",SOMENTE PRONTA ENTREGA  - SEM REPOSICAO
TECIDO LINEA RUSTIC 100% ALGODAO,PA LISO 1095,"15,3",PRONTA ENTREGA  -AGUARDAR UMA NOVA PROGRAMACAO
TECIDO RIVIERA 100% VISCOSE,PA LISO 1088,"10,9",SOMENTE PRONTA ENTREGA -SEM REPOSICAO
TECIDO ROYALE FIO TINTO 100% ALGO,PA EST 1013,"16,05",SOMENTE PRONTA ENTREGA  - SEM REPOSICAO
TECIDO RUSH PELETIZADO 100% ALGODAO,PA LISO 1005,"16,4",SOMENTE PRODUCAO EXCLUSIVA
TESSERA RUSTIC 100% ALGODAO,PA LISO 1018,"14,3",PRONTA ENTREGA  -AGUARDAR UMA NOVA PROGRAMACAO
TRICOLINE DELUXE 100% ALGODAO,PA EST 1011,"13,2",PROGRAMACAO
TRICOLINE DIGITAL 100% ALGODAO,PA DIG EST 1079,"20,25",PROGRAMACAO
TRICOLINE HAVANA 97% ALGODAO 3% ELASTANO,PA EST 1010,"15,3",SOMENTE PRONTA ENTREGA
TRICOLINE HAVANA 97% ALGODAO 3% ELASTANO,PA LISO 1010,"15,3",PRONTA ENTREGA - AGUARDAR UMA NOVA PROGRAMACAO
TRICOLINE LONDRES 100% ALGODAO,PA LISO 1019,"12,25",SOMENTE PRONTA ENTREGA -SEM REPOSICAO
TRICOLINE PARIS PLUS 100% ALGODAO,PA LISO 1000,"12,1",PRONTA ENTREGA  - AGUARDAR UMA NOVA PROGRAMACAO
TRICOLINE PREMIUM 100% ALGODAO,PA EST 1015,"12,25",PROGRAMACAO
TRICOLINE TOP LINE 40/1 100% ALGODAO,PA EST 1028,"13,2",PROGRAMACAO
TRICOLINE TOP LINE 40/1 100% ALGODAO,PA LISO 1028,"13,2",PRONTA ENTREGA  -AGUARDAR UMA NOVA PROGRAMACAO
VENETO FIO TINTO 100% ALGODAO,PA LISO 1016,"13,9",SOMENTE PRONTA ENTREGA - SEM REPOSICAO
VERANO ARIZONA XADREZ (2) 2X2 100% ALG,PA EST 1046,"18,3",SOMENTE PRONTA ENTREGA -SEM REPOSICAO
VERANO CHAMBREY 100% ALGODAO,PA LISO 1003,"14,15",PROGRAMACAO
VERANO FLAME 100% ALGODAO,PA EST 1001,"13,2",SOMENTE PRONTA ENTREGA  -SEM REPOSICAO
VERANO FLAME 100% ALGODAO,PA LISO 1001,"12,82",SOMENTE PRONTA ENTREGA  -SEM REPOSICAO
VERANO FLAME 160 100% ALGODAO,PA EST 1099,"13,2",PROGRAMACAO
VERANO FLAME 160 100% ALGODAO,PA LISO 1099,"12,82",PROGRAMACAO
VERANO LINHO PLUS 160 55%AL15%LIN30%VIS,PA LISO 1076,"14,15",PROGRAMACAO
VERANO LISTRADO ELEGANCE 100% ALG,PA EST 1030,"16,05",SOMENTE PRONTA ENTREGA -SEM REPOSICAO
VERANO STRIPED (2) 2X2 100% ALGODAO,PA EST 1027,"16,05",SOMENTE PRONTA ENTREGA -SEM REPOSICAO
VERANO STRIPED (5) 4X4 100% ALGODAO,PA EST 1025,"16,05",SOMENTE PRONTA ENTREGA  -SEM REPOSICAO
VERANO STRIPED (85MM) 1X1 100% ALGODAO,PA EST 1085,"16,05",SOMENTE PRONTA ENTREGA -SEM REPOSICAO
VISCOSE DELUXE 100% VISCOSE,PA EST 1082,"12,98",PROGRAMACAO
